location_block,text_general_code,crime_type,crime_x,crime_y,lat,lng
6500 BLOCK WOODLAND AV,Homicide - Criminal,Violent Crime,-75.23523555,39.92502847,39.92502846900004,-75.23523554999997
700 BLOCK S 52ND ST,Homicide - Criminal,Violent Crime,-75.22739509,39.94838755,39.94838754800003,-75.22739508599994
800 BLOCK S CECIL ST,Homicide - Criminal,Violent Crime,-75.23898551,39.94763117,39.947631167000054,-75.23898551299999
800 BLOCK LEX ST,Homicide - Criminal,Violent Crime,-75.2118647,39.96731093,39.96731092600004,-75.21186469899999
5600 BLOCK PENTRIDGE ST,Homicide - Criminal,Violent Crime,-75.23177102,39.94081576,39.94081576000008,-75.23177102099999
7900 BLOCK HENRY AV,Homicide - Criminal,Violent Crime,-75.23252023,40.05616238,40.05616238400006,-75.23252023099997
6400 BLOCK N LAMBERT ST,Homicide - Criminal,Violent Crime,-75.15454841,40.05223884,40.052238844000044,-75.15454841099995
1200 BLOCK N TANEY ST,Homicide - Criminal,Violent Crime,-75.17949441,39.97460905,39.97460905300005,-75.17949440899997
700 BLOCK N 37TH ST,Homicide - Criminal,Violent Crime,-75.19673234,39.96739283,39.967392834000066,-75.19673233799995
1400 BLOCK W VENANGO ST,Homicide - Criminal,Violent Crime,-75.15242615,40.00781643,40.007816425000044,-75.15242615099999
2400 BLOCK N 26TH ST,Homicide - Criminal,Violent Crime,-75.17468185,39.99287832,39.99287832300007,-75.17468185099995
1800 BLOCK E RUSSELL ST,Homicide - Criminal,Violent Crime,-75.10718272,39.99832228,39.99832227600007,-75.10718272399998
9600 BLOCK BUSTLETON AV,Homicide - Criminal,Violent Crime,-75.03517844,40.08751849,40.087518491000026,-75.03517843699996
5600 BLOCK WHITBY AV,Homicide - Criminal,Violent Crime,-75.23358104,39.9424248,39.94242480100007,-75.23358104199997
5700 BLOCK HARMER ST,Homicide - Criminal,Violent Crime,-75.23486915,39.96906747,39.96906747100007,-75.23486915199999
2700 BLOCK N DOVER ST,Homicide - Criminal,Violent Crime,-75.17788448,39.99731621,39.997316210000065,-75.17788447599997
1800 BLOCK W SEDGLEY AV,Homicide - Criminal,Violent Crime,-75.15992232,39.99628518,39.996285183000055,-75.15992231699994
2000 BLOCK N BODINE ST,Homicide - Criminal,Violent Crime,-75.13883186,39.98159195,39.98159194900006,-75.13883185999998
4700 BLOCK N 11TH ST,Homicide - Criminal,Violent Crime,-75.14258407,40.02495503,40.02495502700003,-75.14258406999994
4700 BLOCK N 11TH ST,Homicide - Criminal,Violent Crime,-75.14258407,40.02495503,40.02495502700003,-75.14258406999994
900 BLOCK E LOCUST AV,Homicide - Criminal,Violent Crime,-75.15952855,40.04727283,40.047272830000054,-75.15952854799997
1200 BLOCK W HAROLD ST,Homicide - Criminal,Violent Crime,-75.15144395,39.9923525,39.99235250300006,-75.15144395399994
1800 BLOCK N 53RD ST,Homicide - Criminal,Violent Crime,-75.22853967,39.98559919,39.98559919300004,-75.22853966999998
2300 BLOCK GREENLAND DR,Homicide - Criminal,Violent Crime,-75.18691154,39.99197677,39.99197676600005,-75.18691153499998
2300 BLOCK E HAGERT ST,Homicide - Criminal,Violent Crime,-75.12487556,39.98017221,39.980172211000024,-75.12487555799999
2600 BLOCK S 10TH ST,Homicide - Criminal,Violent Crime,-75.16434978,39.91652297,39.91652296800004,-75.16434977699998
2900 BLOCK W OXFORD ST,Homicide - Criminal,Violent Crime,-75.18355092,39.9804999,39.980499902000076,-75.18355091499996
3600 BLOCK N 17TH ST,Homicide - Criminal,Violent Crime,-75.15630923,40.00887733,40.00887732800004,-75.15630923299994
3600 BLOCK N 17TH ST,Homicide - Criminal,Violent Crime,-75.15630923,40.00887733,40.00887732800004,-75.15630923299994
3900 BLOCK N DARIEN ST,Homicide - Criminal,Violent Crime,-75.14131719,40.0122271,40.01222709600006,-75.14131719399995
